time_step,met,lp_capacity_unmet,avail_unmet,battery_unmet
678,4,405.0,0.0,556.0
679,10,398.0,0.0,554.0
680,13,387.0,0.0,552.0
681,9,403.0,0.0,554.0
682,24,404.0,0.0,547.0
683,25,424.0,0.0,539.0
684,19,431.0,0.0,546.0
685,18,434.0,0.0,560.0
686,16,477.0,0.0,563.0
687,50,494.0,0.0,527.0
688,24,507.0,0.0,527.0
689,19,511.0,0.0,534.0
690,21,519.0,0.0,528.0
691,12,523.0,0.0,542.0
692,27,543.0,0.0,531.0
693,25,534.0,0.0,539.0
694,25,530.0,0.0,547.0
695,19,537.0,0.0,547.0
696,19,552.0,0.0,542.0
697,39,563.0,0.0,532.0
698,27,563.0,0.0,531.0
699,25,559.0,0.0,541.0
700,28,557.0,0.0,550.0
701,32,576.0,0.0,543.0
702,26,574.0,0.0,545.0
703,28,580.0,0.0,554.0
704,19,585.0,0.0,562.0
705,24,590.0,0.0,558.0
706,36,603.0,0.0,537.0
707,53,601.0,0.0,515.0
708,33,569.0,0.0,538.0
709,27,564.0,0.0,535.0
710,28,552.0,0.0,542.0
711,30,554.0,0.0,532.0
712,24,552.0,0.0,540.0
713,24,557.0,0.0,545.0
714,34,570.0,0.0,534.0
715,23,566.0,0.0,540.0
716,33,569.0,0.0,529.0
717,17,549.0,0.0,548.0
718,35,557.0,0.0,535.0
719,31,550.0,0.0,536.0
720,25,552.0,0.0,529.0
721,18,531.0,0.0,542.0
722,28,527.0,0.0,541.0
723,19,508.0,0.0,548.0
724,13,496.0,0.0,555.0
725,9,488.0,0.0,560.0
726,12,488.0,0.0,551.0
727,6,478.0,0.0,555.0
728,19,474.0,0.0,544.0
729,16,460.0,0.0,544.0
730,9,451.0,0.0,553.0
731,15,466.0,0.0,551.0
732,7,474.0,0.0,561.0
733,15,495.0,0.0,556.0
734,13,505.0,0.0,563.0
735,19,532.0,0.0,558.0
736,11,534.0,0.0,562.0
737,17,553.0,0.0,554.0
738,24,561.0,0.0,553.0
739,18,601.0,0.0,562.0
740,18,621.0,0.0,565.0
741,25,628.0,0.0,561.0
742,10,631.0,0.0,575.0
743,40,655.0,0.0,543.0
744,25,654.0,0.0,561.0
745,17,651.0,0.0,569.0
746,32,667.0,0.0,553.0
747,32,664.0,0.0,551.0
748,26,666.0,0.0,559.0
749,26,660.0,0.0,559.0
750,30,680.0,0.0,545.0
751,42,673.0,0.0,535.0
752,31,669.0,0.0,543.0
753,34,668.0,0.0,544.0
754,53,675.0,0.0,523.0
755,36,654.0,0.0,535.0
756,24,632.0,0.0,551.0
757,27,633.0,0.0,546.0
758,43,637.0,0.0,527.0
759,32,628.0,0.0,535.0
760,28,631.0,0.0,535.0
761,17,625.0,0.0,543.0
762,28,630.0,0.0,533.0
763,37,630.0,0.0,529.0
764,31,622.0,0.0,535.0
765,33,612.0,0.0,540.0
766,30,606.0,0.0,541.0
767,16,591.0,0.0,555.0
768,32,593.0,0.0,540.0
769,30,577.0,0.0,542.0
770,19,558.0,0.0,555.0
771,11,544.0,0.0,564.0
772,14,549.0,0.0,558.0
773,20,540.0,0.0,551.0
774,16,528.0,0.0,548.0
775,8,511.0,0.0,558.0
776,14,514.0,0.0,548.0
777,11,507.0,0.0,548.0
778,14,504.0,0.0,551.0
779,14,510.0,0.0,550.0
780,16,518.0,0.0,553.0
781,22,528.0,0.0,551.0
782,13,532.0,0.0,560.0
783,20,540.0,0.0,558.0
784,11,542.0,0.0,569.0
785,29,554.0,0.0,552.0
786,15,572.0,0.0,563.0
787,19,583.0,0.0,561.0
788,13,602.0,0.0,564.0
789,27,622.0,0.0,552.0
790,23,641.0,0.0,552.0
791,21,662.0,0.0,559.0
792,18,681.0,0.0,559.0
793,25,701.0,0.0,552.0
794,17,709.0,0.0,558.0
795,18,712.0,0.0,560.0
796,36,731.0,0.0,539.0
797,32,735.0,0.0,538.0
798,26,738.0,0.0,543.0
799,31,747.0,0.0,540.0
800,26,753.0,0.0,549.0
801,20,761.0,0.0,552.0
802,28,759.0,0.0,547.0
803,33,765.0,0.0,542.0
804,46,767.0,0.0,525.0
805,16,744.0,0.0,551.0
806,53,771.0,0.0,514.0
807,35,755.0,0.0,517.0
808,41,742.0,0.0,519.0
809,35,727.0,0.0,530.0
810,27,730.0,0.0,537.0
811,33,729.0,0.0,531.0
812,43,728.0,0.0,525.0
813,30,719.0,0.0,536.0
814,27,715.0,0.0,539.0
815,37,721.0,0.0,530.0
816,24,700.0,0.0,544.0
817,20,684.0,0.0,550.0
818,21,680.0,0.0,548.0
819,20,672.0,0.0,543.0
820,13,657.0,0.0,552.0
821,16,653.0,0.0,546.0
822,17,654.0,0.0,553.0
823,12,639.0,0.0,561.0
824,7,628.0,0.0,567.0
825,12,629.0,0.0,558.0
826,16,627.0,0.0,553.0
827,16,621.0,0.0,558.0
828,18,621.0,0.0,553.0
829,13,619.0,0.0,558.0
830,13,630.0,0.0,556.0
831,13,635.0,0.0,555.0
832,16,643.0,0.0,558.0
833,22,670.0,0.0,553.0
834,14,671.0,0.0,560.0
835,13,686.0,0.0,557.0
836,19,701.0,0.0,552.0
837,25,698.0,0.0,552.0
838,16,701.0,0.0,559.0
839,12,711.0,0.0,558.0
840,26,725.0,0.0,550.0
841,15,725.0,0.0,563.0
842,25,744.0,0.0,554.0
843,41,767.0,0.0,537.0
844,23,773.0,0.0,546.0
845,30,772.0,0.0,544.0
846,32,768.0,0.0,538.0
847,24,764.0,0.0,550.0
848,22,780.0,0.0,556.0
849,18,782.0,0.0,559.0
850,22,790.0,0.0,553.0
851,34,793.0,0.0,542.0
852,45,788.0,0.0,529.0
853,24,775.0,0.0,539.0
854,18,766.0,0.0,551.0
855,30,779.0,0.0,536.0
856,20,789.0,0.0,541.0
857,27,788.0,0.0,541.0
