time_step,met,lp_capacity_unmet,avail_unmet,battery_unmet
813,20,841.0,0.0,570.0
814,27,851.0,0.0,559.0
815,31,857.0,0.0,556.0
816,27,846.0,0.0,557.0
817,21,832.0,0.0,560.0
818,19,821.0,0.0,567.0
819,16,812.0,0.0,567.0
820,38,801.0,0.0,547.0
821,9,774.0,0.0,571.0
822,6,784.0,0.0,580.0
823,6,784.0,0.0,579.0
824,18,779.0,0.0,568.0
825,9,766.0,0.0,576.0
826,13,767.0,0.0,571.0
827,12,762.0,0.0,579.0
828,10,765.0,0.0,579.0
829,19,771.0,0.0,570.0
830,16,776.0,0.0,571.0
831,18,776.0,0.0,570.0
832,19,786.0,0.0,568.0
833,17,812.0,0.0,569.0
834,16,818.0,0.0,569.0
835,21,822.0,0.0,569.0
836,24,832.0,0.0,564.0
837,12,835.0,0.0,571.0
838,20,842.0,0.0,570.0
839,6,845.0,0.0,582.0
840,15,868.0,0.0,576.0
841,23,879.0,0.0,570.0
842,19,891.0,0.0,574.0
843,25,919.0,0.0,568.0
844,25,935.0,0.0,565.0
845,43,937.0,0.0,547.0
846,33,926.0,0.0,547.0
847,13,922.0,0.0,570.0
848,42,945.0,0.0,549.0
849,18,933.0,0.0,566.0
850,19,935.0,0.0,569.0
851,35,940.0,0.0,555.0
852,22,934.0,0.0,566.0
853,18,929.0,0.0,574.0
854,32,935.0,0.0,557.0
855,27,934.0,0.0,559.0
856,29,940.0,0.0,559.0
